------------------------------
  Elements     Atomic Weight  
------------------------------
  1.	HE         4.00299978
  2.	AR        39.94800186
  3.	N         14.00699997
  4.	O         15.99899960
  5.	H          1.00800002
  6.	C         12.01099968
------------------------------


------------------------------------------------------------------------------------------------------------------------------
                                                Molecular        Temperature        Elements
  Species                  Phase  Charge         weight         Low      High      HE      AR       N       O       H       C
  106. FLUORENE              G      0          166.222996    300.00   4000.00       0       0       0       0      10      13
  107. C6H5CH2C6H5           G      0          168.238996    300.00   4000.00       0       0       0       0      12      13
  108. C14H10                G      0          178.233996    300.00   4000.00       0       0       0       0      10      14
  109. C6H5C2H4C6H5          G      0          182.265996    300.00   4000.00       0       0       0       0      14      14
  110. C16H10                G      0          202.255995    300.00   4000.00       0       0       0       0      10      16
  111. BIN1B                 G      0          250.299994    300.00   4000.00       0       0       0       0      10      20
  112. BIN1A                 G      0          256.347994    300.00   4000.00       0       0       0       0      16      20
  113. O                     G      0           15.999000    300.00   4000.00       0       0       0       1       0       0
  114. H                     G      0            1.008000    300.00   4000.00       0       0       0       0       1       0
  115. OH                    G      0           17.007000    300.00   4000.00       0       0       0       1       1       0
  116. HO2                   G      0           33.005999    300.00   4000.00       0       0       0       2       1       0
  117. CSOLID                G      0           12.011000    300.00   4000.00       0       0       0       0       0       1
  118. C                     G      0           12.011000    300.00   4000.00       0       0       0       0       0       1
  119. CH                    G      0           13.019000    300.00   4000.00       0       0       0       0       1       1
  120. HCO                   G      0           29.017999    300.00   4000.00       0       0       0       1       1       1
  121. HCO3                  G      0           61.015998    300.00   4000.00       0       0       0       3       1       1
  122. CH2                   G      0           14.027000    300.00   4000.00       0       0       0       0       2       1
  123. CH2S                  G      0           14.027000    300.00   4000.00       0       0       0       0       2       1
  124. CH3                   G      0           15.035000    300.00   4000.00       0       0       0       0       3       1
  125. CH2OH                 G      0           31.033999    300.00   4000.00       0       0       0       1       3       1
  126. CH3O                  G      0           31.033999    300.00   4000.00       0       0       0       1       3       1
  127. CH3OO                 G      0           47.032999    300.00   4000.00       0       0       0       2       3       1
  128. C2H                   G      0           25.029999    300.00   4000.00       0       0       0       0       1       2
  129. HCCO                  G      0           41.028999    300.00   4000.00       0       0       0       1       1       2
  130. C2H3                  G      0           27.045999    300.00   4000.00       0       0       0       0       3       2
  131. CH3CO                 G      0           43.044999    300.00   4000.00       0       0       0       1       3       2
  132. CH2CHO                G      0           43.044999    300.00   4000.00       0       0       0       1       3       2
  133. CH3CO3                G      0           75.042998    300.00   4000.00       0       0       0       3       3       2
  134. C2H5                  G      0           29.061999    300.00   4000.00       0       0       0       0       5       2
  135. C2H4OH                G      0           45.060999    300.00   4000.00       0       0       0       1       5       2
  136. CH3CHOH               G      0           45.060999    300.00   4000.00       0       0       0       1       5       2
  137. C2-QOOH               G      0           61.059999    300.00   4000.00       0       0       0       2       5       2
  138. C2H5OO                G      0           61.059999    300.00   4000.00       0       0       0       2       5       2
  139. C2-OOQOOH             G      0           93.057998    300.00   4000.00       0       0       0       4       5       2
  140. C3H3                  G      0           39.056999    300.00   4000.00       0       0       0       0       3       3
  141. CH2CHCH2              G      0           41.072999    300.00   4000.00       0       0       0       0       5       3
  142. CHCHCH3               G      0           41.072999    300.00   4000.00       0       0       0       0       5       3
  143. CH2CCH3               G      0           41.072999    300.00   4000.00       0       0       0       0       5       3
  144. RALD3G                G      0           57.071999    300.00   4000.00       0       0       0       1       5       3
  145. C3H5O                 G      0           57.071999    300.00   4000.00       0       0       0       1       5       3
  146. CH3COCH2              G      0           57.071999    300.00   4000.00       0       0       0       1       5       3
  147. RALD3B                G      0           57.071999    300.00   4000.00       0       0       0       1       5       3
  148. C3H5OO                G      0           73.070998    300.00   4000.00       0       0       0       2       5       3
  149. CH3CHOOCHO            G      0           89.069998    300.00   4000.00       0       0       0       3       5       3
  150. CH2OOHCHCHO           G      0           89.069998    300.00   4000.00       0       0       0       3       5       3
  151. CH2CHOOHCHO           G      0           89.069998    300.00   4000.00       0       0       0       3       5       3
  152. CH2OOCH2CHO           G      0           89.069998    300.00   4000.00       0       0       0       3       5       3
  153. CH2OOCHOOHCHO         G      0          121.067997    300.00   4000.00       0       0       0       5       5       3
  154. CH2OOHCHOOCHO         G      0          121.067997    300.00   4000.00       0       0       0       5       5       3
  155. IC3H7                 G      0           43.088999    300.00   4000.00       0       0       0       0       7       3
  156. NC3H7                 G      0           43.088999    300.00   4000.00       0       0       0       0       7       3
  157. NC3H7O                G      0           59.087999    300.00   4000.00       0       0       0       1       7       3
  158. IC3-QOOH              G      0           75.086998    300.00   4000.00       0       0       0       2       7       3
  159. NC3-QOOH              G      0           75.086998    300.00   4000.00       0       0       0       2       7       3
  160. NC3H7OO               G      0           75.086998    300.00   4000.00       0       0       0       2       7       3
  161. IC3H7OO               G      0           75.086998    300.00   4000.00       0       0       0       2       7       3
  162. IC3-OOQOOH            G      0          107.084998    300.00   4000.00       0       0       0       4       7       3
  163. NC3-OOQOOH            G      0          107.084998    300.00   4000.00       0       0       0       4       7       3
  164. C4H3                  G      0           51.067999    300.00   4000.00       0       0       0       0       3       4
  165. C4H5                  G      0           53.083999    300.00   4000.00       0       0       0       0       5       4
  166. IC4H7                 G      0           55.099999    300.00   4000.00       0       0       0       0       7       4
  167. CH2C3H5               G      0           55.099999    300.00   4000.00       0       0       0       0       7       4
  168. SC4H7                 G      0           55.099999    300.00   4000.00       0       0       0       0       7       4
  169. RALD4D                G      0           71.098998    300.00   4000.00       0       0       0       1       7       4
  170. RALD4B                G      0           71.098998    300.00   4000.00       0       0       0       1       7       4
  171. RIBALDB               G      0           71.098998    300.00   4000.00       0       0       0       1       7       4
  172. RALD4G                G      0           71.098998    300.00   4000.00       0       0       0       1       7       4
  173. RIBALDG               G      0           71.098998    300.00   4000.00       0       0       0       1       7       4
  174. NC4H9S                G      0           57.115999    300.00   4000.00       0       0       0       0       9       4
  175. IC4H9P                G      0           57.115999    300.00   4000.00       0       0       0       0       9       4
  176. IC4H9T                G      0           57.115999    300.00   4000.00       0       0       0       0       9       4
  177. NC4H9P                G      0           57.115999    300.00   4000.00       0       0       0       0       9       4
  178. CYC5H5                G      0           65.094998    300.00   4000.00       0       0       0       0       5       5
  179. C5H5O                 G      0           81.093998    300.00   4000.00       0       0       0       1       5       5
  180. C5H7                  G      0           67.110999    300.00   4000.00       0       0       0       0       7       5
  181. NC5H9-3               G      0           69.126999    300.00   4000.00       0       0       0       0       9       5
  182. ERC4H8CHO             G      0           85.125998    300.00   4000.00       0       0       0       1       9       5
  183. NEOC5H11              G      0           71.142999    300.00   4000.00       0       0       0       0      11       5
  184. NC5H11                G      0           71.142999    300.00   4000.00       0       0       0       0      11       5
  185. C6H3                  G      0           75.089998    300.00   4000.00       0       0       0       0       3       6
  186. LC6H5                 G      0           77.105998    300.00   4000.00       0       0       0       0       5       6
  187. C6H5                  G      0           77.105998    300.00   4000.00       0       0       0       0       5       6
  188. C6H5O                 G      0           93.104998    300.00   4000.00       0       0       0       1       5       6
  189. CYC6H9                G      0           81.137998    300.00   4000.00       0       0       0       0       9       6
  190. CYC6H11               G      0           83.153998    300.00   4000.00       0       0       0       0      11       6
  191. C7H7                  G      0           91.132998    300.00   4000.00       0       0       0       0       7       7
  192. C6H4CH3               G      0           91.132998    300.00   4000.00       0       0       0       0       7       7
  193. RCRESOLC              G      0          107.131997    300.00   4000.00       0       0       0       1       7       7
  194. RCRESOLO              G      0          107.131997    300.00   4000.00       0       0       0       1       7       7
  195. NC7H13                G      0           97.180998    300.00   4000.00       0       0       0       0      13       7
  196. NC7H15                G      0           99.196998    300.00   4000.00       0       0       0       0      15       7
  197. C6H4C2H               G      0          101.127998    300.00   4000.00       0       0       0       0       5       8
  198. C6H5C2H2              G      0          103.143998    300.00   4000.00       0       0       0       0       7       8
  199. RXYLENE               G      0          105.159998    300.00   4000.00       0       0       0       0       9       8
  200. C8H9                  G      0          105.159998    300.00   4000.00       0       0       0       0       9       8
  201. IC8H17                G      0          113.223998    300.00   4000.00       0       0       0       0      17       8
  202. INDENYL               G      0          115.154997    300.00   4000.00       0       0       0       0       7       9
  203. C10H7                 G      0          127.165997    300.00   4000.00       0       0       0       0       7      10
  204. C10H7O                G      0          143.164997    300.00   4000.00       0       0       0       1       7      10
  205. C10H7CH2              G      0          141.192997    300.00   4000.00       0       0       0       0       9      11
  206. C10H6CH3              G      0          141.192997    300.00   4000.00       0       0       0       0       9      11
  207. CH3C10H6O             G      0          157.191996    300.00   4000.00       0       0       0       1       9      11
  208. C12H7                 G      0          151.187996    300.00   4000.00       0       0       0       0       7      12
  209. RBIPHENYL             G      0          153.203996    300.00   4000.00       0       0       0       0       9      12
  210. C14H9                 G      0          177.225996    300.00   4000.00       0       0       0       0       9      14
  211. C16H9                 G      0          201.247995    300.00   4000.00       0       0       0       0       9      16
  212. H(S)                  G      0            1.008000    300.00   4000.00       0       0       0       0       1       0
  213. C.(S)                 G      0           12.011000    300.00   4000.00       0       0       0       0       0       1
  214. CHCH.(S)              G      0           26.037999    300.00   4000.00       0       0       0       0       2       2
  215. CH2CH2.(S)            G      0           28.053999    300.00   4000.00       0       0       0       0       4       2
  216. CH2CH2(S)             G      0           28.053999    300.00   4000.00       0       0       0       0       4       2
  217. CH.CH2(S)             G      0           27.045999    300.00   4000.00       0       0       0       0       3       2
  218. P1(S)                 G      0           40.064999    300.00   4000.00       0       0       0       0       4       3
  219. P3(S)                 G      0           42.080999    300.00   4000.00       0       0       0       0       6       3
  220. P4(S)                 G      0           42.080999    300.00   4000.00       0       0       0       0       6       3
  221. P5(S)                 G      0           41.072999    300.00   4000.00       0       0       0       0       5       3
  222. P6(S)                 G      0           40.064999    300.00   4000.00       0       0       0       0       4       3
  223. P7(S)                 G      0           40.064999    300.00   4000.00       0       0       0       0       4       3
  224. C6H6.(S)              G      0           78.113998    300.00   4000.00       0       0       0       0       6       6
  225. C6H6(S)               G      0           78.113998    300.00   4000.00       0       0       0       0       6       6
  226. C6H5#(S)              G      0           77.105998    300.00   4000.00       0       0       0       0       5       6
  227. C6H5.(S)              G      0           77.105998    300.00   4000.00       0       0       0       0       5       6
  228. C10H8.(1)(S)          G      0          128.173997    300.00   4000.00       0       0       0       0       8      10
  229. C10H8(1)(S)           G      0          128.173997    300.00   4000.00       0       0       0       0       8      10
  230. PHENYLAC.1(S)         G      0          102.135998    300.00   4000.00       0       0       0       0       6       8
  231. STYRENE.1(S)          G      0          104.151998    300.00   4000.00       0       0       0       0       8       8
  232. STYRENE1(S)           G      0          104.151998    300.00   4000.00       0       0       0       0       8       8
  233. CCH(S)                G      0           25.029999    300.00   4000.00       0       0       0       0       1       2
  234. CHCH2(S)              G      0           27.045999    300.00   4000.00       0       0       0       0       3       2
  235. CH3(S)                G      0           15.035000    300.00   4000.00       0       0       0       0       3       1
  236. CH2.(S)               G      0           14.027000    300.00   4000.00       0       0       0       0       2       1
  237. CH2C5(S)              G      0           14.027000    300.00   4000.00       0       0       0       0       2       1
  238. CH.C5(S)              G      0           13.019000    300.00   4000.00       0       0       0       0       1       1
  239. CHCH3C5(S)            G      0           28.053999    300.00   4000.00       0       0       0       0       4       2
  240. C.CH3C5(S)            G      0           27.045999    300.00   4000.00       0       0       0       0       3       2
  241. HZ(S)                 G      0            1.008000    300.00   4000.00       0       0       0       0       1       0
  242. C.Z(S)                G      0           12.011000    300.00   4000.00       0       0       0       0       0       1
  243. CHCH.Z(S)             G      0           26.037999    300.00   4000.00       0       0       0       0       2       2
  244. CHCHCH3Z(S)           G      0           41.072999    300.00   4000.00       0       0       0       0       5       3
  245. CHCHCH2.Z(S)          G      0           40.064999    300.00   4000.00       0       0       0       0       4       3
  246. CH2CH2.Z(S)           G      0           28.053999    300.00   4000.00       0       0       0       0       4       2
  247. CH2CH2CH3Z(S)         G      0           43.088999    300.00   4000.00       0       0       0       0       7       3
  248. CH.CH2CH3Z(S)         G      0           42.080999    300.00   4000.00       0       0       0       0       6       3
  249. CH2CH3Z(S)            G      0           29.061999    300.00   4000.00       0       0       0       0       5       2
  250. CH3Z(S)               G      0           15.035000    300.00   4000.00       0       0       0       0       3       1
  251. CH2.Z(S)              G      0           14.027000    300.00   4000.00       0       0       0       0       2       1
  252. CH2CHCH.Z(S)          G      0           40.064999    300.00   4000.00       0       0       0       0       4       3
  253. CH2CH2CH2.Z(S)        G      0           42.080999    300.00   4000.00       0       0       0       0       6       3
  254. CH2BZ(S)              G      0           14.027000    300.00   4000.00       0       0       0       0       2       1
  255. CH2CH2Z(S)            G      0           28.053999    300.00   4000.00       0       0       0       0       4       2
  256. CHCHZ(S)              G      0           26.037999    300.00   4000.00       0       0       0       0       2       2
  257. CH.BZ(S)              G      0           13.019000    300.00   4000.00       0       0       0       0       1       1
  258. CHCH3BZ(S)            G      0           28.053999    300.00   4000.00       0       0       0       0       4       2
  259. C.CH3BZ(S)            G      0           27.045999    300.00   4000.00       0       0       0       0       3       2
  260. CCH2BZ(S)             G      0           26.037999    300.00   4000.00       0       0       0       0       2       2
  261. CCH.BZ(S)             G      0           25.029999    300.00   4000.00       0       0       0       0       1       2
  262. CCHCH3BZ(S)           G      0           40.064999    300.00   4000.00       0       0       0       0       4       3
  263. CCHCH2.BZ(S)          G      0           39.056999    300.00   4000.00       0       0       0       0       3       3
  264. CHC.Z(S)              G      0           25.029999    300.00   4000.00       0       0       0       0       1       2
  265. CHCCH3Z(S)            G      0           40.064999    300.00   4000.00       0       0       0       0       4       3
  266. CHCCH2.Z(S)           G      0           39.056999    300.00   4000.00       0       0       0       0       3       3
  267. CHCCH2C5Z(S)          G      0           39.056999    300.00   4000.00       0       0       0       0       3       3
  268. CHCCH.C5Z(S)          G      0           38.048999    300.00   4000.00       0       0       0       0       2       3
  269. CHCCHCH3C5Z(S)        G      0           53.083999    300.00   4000.00       0       0       0       0       5       4
  270. CHCC.CH3C5Z(S)        G      0           52.075999    300.00   4000.00       0       0       0       0       4       4
  271. CHCCHCH.Z(S)          G      0           51.067999    300.00   4000.00       0       0       0       0       3       4
  272. CHCCH2CH2.Z(S)        G      0           53.083999    300.00   4000.00       0       0       0       0       5       4
  273. CHC.CH3Z(S)           G      0           40.064999    300.00   4000.00       0       0       0       0       4       3
  274. CHCHCH.BZ(S)          G      0           39.056999    300.00   4000.00       0       0       0       0       3       3
  275. CHCH2CH2.BZ(S)        G      0           41.072999    300.00   4000.00       0       0       0       0       5       3
  276. CHCHCHBZ(S)           G      0           39.056999    300.00   4000.00       0       0       0       0       3       3
  277. CHCH2CH2BZ(S)         G      0           41.072999    300.00   4000.00       0       0       0       0       5       3
  278. C(B)                  G      0           12.011000    300.00   4000.00       0       0       0       0       0       1
------------------------------------------------------------------------------------------------------------------------------

---------------------------------------------------------------------------------------
                                SURFACE MECHANISM                                    
---------------------------------------------------------------------------------------

       Number of materials:       1
       Number of site phases:     1
       Number of bulk phases:     1
       Number of surface species: 66
       Number of bulk species:    1

       Materials: 
       SOLID

       ------------------------------------------------------------------------------------------------------------------
       Site phases:        density[mol/cm2]     sites      global-index   local-index   internal-index
       ------------------------------------------------------------------------------------------------------------------
       1. CARBON           6.642300e-10     
             H(S)                             1.000000         212            1              1              
             C.(S)                            1.000000         213            2              2              
             CHCH.(S)                         1.000000         214            3              3              
             CH2CH2.(S)                       1.000000         215            4              4              
             CH2CH2(S)                        1.000000         216            5              5              
             CH.CH2(S)                        1.000000         217            6              6              
             p1(S)                            1.000000         218            7              7              
             p3(S)                            1.000000         219            8              8              
             p4(S)                            1.000000         220            9              9              
             p5(S)                            1.000000         221            10             10             
             p6(S)                            1.000000         222            11             11             
             p7(S)                            1.000000         223            12             12             
             C6H6.(S)                         1.000000         224            13             13             
             C6H6(S)                          1.000000         225            14             14             
             C6H5#(S)                         1.000000         226            15             15             
             C6H5.(S)                         1.000000         227            16             16             
             C10H8.(1)(S)                     1.000000         228            17             17             
             C10H8(1)(S)                      1.000000         229            18             18             
             phenylac.1(S)                     1.000000         230            19             19             
             styrene.1(S)                     1.000000         231            20             20             
             styrene1(S)                      1.000000         232            21             21             
             CCH(S)                           1.000000         233            22             22             
             CHCH2(S)                         1.000000         234            23             23             
             CH3(S)                           1.000000         235            24             24             
             CH2.(S)                          1.000000         236            25             25             
             CH2c5(S)                         1.000000         237            26             26             
             CH.c5(S)                         1.000000         238            27             27             
             CHCH3c5(S)                       1.000000         239            28             28             
             C.CH3c5(S)                       1.000000         240            29             29             
             Hz(S)                            1.000000         241            30             30             
             C.z(S)                           1.000000         242            31             31             
             CHCH.z(S)                        1.000000         243            32             32             
             CHCHCH3z(S)                      1.000000         244            33             33             
             CHCHCH2.z(S)                     1.000000         245            34             34             
             CH2CH2.z(S)                      1.000000         246            35             35             
             CH2CH2CH3z(S)                     1.000000         247            36             36             
             CH.CH2CH3z(S)                     1.000000         248            37             37             
             CH2CH3z(S)                       1.000000         249            38             38             
             CH3z(S)                          1.000000         250            39             39             
             CH2.z(S)                         1.000000         251            40             40             
             CH2CHCH.z(S)                     1.000000         252            41             41             
             CH2CH2CH2.z(S)                     1.000000         253            42             42             
             CH2Bz(S)                         1.000000         254            43             43             
             CH2CH2z(S)                       1.000000         255            44             44             
             CHCHz(S)                         1.000000         256            45             45             
             CH.Bz(S)                         1.000000         257            46             46             
             CHCH3Bz(S)                       1.000000         258            47             47             
             C.CH3Bz(S)                       1.000000         259            48             48             
             CCH2Bz(S)                        1.000000         260            49             49             
             CCH.Bz(S)                        1.000000         261            50             50             
             CCHCH3Bz(S)                      1.000000         262            51             51             
             CCHCH2.Bz(S)                     1.000000         263            52             52             
             CHC.z(S)                         1.000000         264            53             53             
             CHCCH3z(S)                       1.000000         265            54             54             
             CHCCH2.z(S)                      1.000000         266            55             55             
             CHCCH2c5z(S)                     1.000000         267            56             56             
             CHCCH.c5z(S)                     1.000000         268            57             57             
             CHCCHCH3c5z(S)                     1.000000         269            58             58             
             CHCC.CH3c5z(S)                     1.000000         270            59             59             
             CHCCHCH.z(S)                     1.000000         271            60             60             
             CHCCH2CH2.z(S)                     1.000000         272            61             61             
             CHC.CH3z(S)                      1.000000         273            62             62             
             CHCHCH.Bz(S)                     1.000000         274            63             63             
             CHCH2CH2.Bz(S)                     1.000000         275            64             64             
             CHCHCHBz(S)                      1.000000         276            65             65             
             CHCH2CH2Bz(S)                     1.000000         277            66             66             

       ------------------------------------------------------------------------------------------------------------------
       Bulk phases:        density[g/cm3]     global-index   local-index   internal-index
       ------------------------------------------------------------------------------------------------------------------
       1. BULK1            
             C(B)        1.750000         278            1              1              

--------------------------------------------------------------------------------------------------------
                                  CHEMICAL REACTIONS                                                  

                         Units: [kmol, m3, s] and [cal/mol]                                           
--------------------------------------------------------------------------------------------------------


      1. H + H(S) + C(B)  => H2 + C.(S) 
         k:       5.000000e+04	    1.80      16800.00


      2. H2 + C.(S)  => H + H(S) + C(B) 
         k:       1.450000e+04	    1.80       8734.00


      3. CH3 + H(S) + C(B)  => CH4 + C.(S) 
         k:       6.660000e+08	    0.00      15000.00


